plate,status,title,pageid,source_page,download_url,original_url,original_sha1,download_sha256,normalized_sha256,license,license_url,artist,credit,source_local,width,height
19,downloaded public-domain source; crop unreviewed,File:19 Louisiana Water Thrush.jpg,8715271,https://commons.wikimedia.org/wiki/File:19_Louisiana_Water_Thrush.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/19_Louisiana_Water_Thrush.jpg/1920px-19_Louisiana_Water_Thrush.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/6/67/19_Louisiana_Water_Thrush.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,b42e97f429392f15cafbfb00fbb930fe191cd554,399f867592fb762f5d5000f99394e48011e15cade9004322387a3f57d48fc546,d1b3c4309078fdf5b2cc50de08e5ec88d58bd2cc3e77420299c153acb07d68e2,Public domain,,John James Audubon,University of Pittsburgh,sources/019.png,1249,1800
20,downloaded public-domain source; crop unreviewed,File:20 Blue-winged Yellow Warbler.jpg,8715282,https://commons.wikimedia.org/wiki/File:20_Blue-winged_Yellow_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/20_Blue-winged_Yellow_Warbler.jpg/1920px-20_Blue-winged_Yellow_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/8/85/20_Blue-winged_Yellow_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,85aa221d5ad18fcc8193daeba2da01790331f396,a5bbaae184dd3310390c6e83be8313a871e2d3f84f4d5398ad2fbf96b7522bfe,1ad5ccb433dc6b7cd37080a43969b615e23e3be71bc222b6014aa8bd828fb3f7,Public domain,,John James Audubon,University of Pittsburgh,sources/020.png,1246,1800
21,downloaded public-domain source; crop unreviewed,File:21 Mocking Bird.jpg,8715348,https://commons.wikimedia.org/wiki/File:21_Mocking_Bird.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/21_Mocking_Bird.jpg/1920px-21_Mocking_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a1/21_Mocking_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,32c8141b5e0eb9ced7068f1b0b8b4bb717b3feff,1d7af34567c1f78904924b7a73677d05e782f9318dee57e4cc12357d53ce90bb,fc5acf097a2817a0df8d291199975eeba71072cd7444f3147d8f0dcd64bbab3a,Public domain,,John James Audubon,University of Pittsburgh,sources/021.png,1253,1800
22,downloaded public-domain source; crop unreviewed,File:22 Purple Martin.jpg,8715374,https://commons.wikimedia.org/wiki/File:22_Purple_Martin.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/22_Purple_Martin.jpg/1920px-22_Purple_Martin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/f/f0/22_Purple_Martin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,05df107390bf5f616bf484b4a35e2fea35a04c81,f3f8e90ee24f5cf816ff0cff6532cc858455cc6cc1632797134d0e36db40b913,779fb2e1bdfaae59ee1345a2f632568e7f7e049d988ee895b117adecf77c8b59,Public domain,,John James Audubon,University of Pittsburgh,sources/022.png,1241,1800
25,downloaded public-domain source; crop unreviewed,File:25 Song Sparrow.jpg,8715479,https://commons.wikimedia.org/wiki/File:25_Song_Sparrow.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/25_Song_Sparrow.jpg/1920px-25_Song_Sparrow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/6/60/25_Song_Sparrow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,27f9959a2f12e6224ecc3f13e7fe5292002dbac0,7b714c36a07beea463b988e6bacc2734c52863eb7eb0ec5435c62a1ffc6ea101,43a63d987d85c365ed7ef33d9ecb73debcaf81f416ba87d32a068db9f76b20c2,Public domain,,John James Audubon,University of Pittsburgh,sources/025.png,1249,1800
27,downloaded public-domain source; crop unreviewed,File:27 Red headed Woodpecker.jpg,8715905,https://commons.wikimedia.org/wiki/File:27_Red_headed_Woodpecker.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/27_Red_headed_Woodpecker.jpg/1920px-27_Red_headed_Woodpecker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/9b/27_Red_headed_Woodpecker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,b7681bd26702bc6d4b7bbde19a2708cbb5781af2,02f34567fb7473bf04e7fd218fb319912c0f176e7f2d91bc19c844f0156b15c7,8e2c18e856c7f2f46fc8902265256195d88c8a7c3fbae85f5034e5ee0945cba3,Public domain,,John James Audubon,University of Pittsburgh,sources/027.png,1244,1800
29,downloaded public-domain source; crop unreviewed,File:29 Towhe Bunting.jpg,8715996,https://commons.wikimedia.org/wiki/File:29_Towhe_Bunting.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/29_Towhe_Bunting.jpg/1920px-29_Towhe_Bunting.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/ae/29_Towhe_Bunting.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,e17661a147e8851c3b6258d453cc960393c7dbe8,32266825eabc238762e0674f4215891be79e26603a5ddf104f778c9ac008f94b,14781db77f58f272c3bb559ac62476104fa45ad405c52d5c1bb0ce3f8d4e8147,Public domain,,John James Audubon,University of Pittsburgh,sources/029.png,1245,1800
32,downloaded public-domain source; crop unreviewed,File:32 Black-billed Cuckoo.jpg,8716171,https://commons.wikimedia.org/wiki/File:32_Black-billed_Cuckoo.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/32_Black-billed_Cuckoo.jpg/1920px-32_Black-billed_Cuckoo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/3/3a/32_Black-billed_Cuckoo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,029af68ddecde20365a24fe28c52c08c0b2c4bf5,88414fae0a5070958ce35aaefd5a848ebe673cc8db815b4a8fe4c3df66013801,215b999c7f2c9b4c9689522a36e7723edd55d1a09b520a84262ea7df5412440c,Public domain,,John James Audubon,University of Pittsburgh,sources/032.png,1800,1247
33,downloaded public-domain source; crop unreviewed,File:33 American Goldfinch.jpg,8716191,https://commons.wikimedia.org/wiki/File:33_American_Goldfinch.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/97/33_American_Goldfinch.jpg/1920px-33_American_Goldfinch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/97/33_American_Goldfinch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,432564ffca868e1e4889ed7345a5dd91de16fe03,422076f3fa6b9d49b44dd39e327f40ddb5e233c14204d6eeb9a7693c61cef9d5,6f18664bfa67afc936c5d034b08f69f13bc54e306f18de0df9fbc575c6ff1658,Public domain,,John James Audubon,University of Pittsburgh,sources/033.png,1251,1800
34,downloaded public-domain source; crop unreviewed,File:34 Worm eating Warbler.jpg,8716204,https://commons.wikimedia.org/wiki/File:34_Worm_eating_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/34_Worm_eating_Warbler.jpg/1920px-34_Worm_eating_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/8/85/34_Worm_eating_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,ae56e2e2eece5664c0c0a93f858b8a0587eba930,b816d4f9cb4c0141ec83efed8a83709edd3d83a94955976c1dd56d3d0585d80c,ab3e857a5aeec843faaa0a41f4ed8c99c16829e16605632d5232bbd4f842b077,Public domain,,John James Audubon,University of Pittsburgh,sources/034.png,1250,1800
