artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,phalaropus-fulicarius.webp,,,Red Phalarope,,phalaropus-fulicarius,,226,Phalaropus fulicarius,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGrey_Phalarope.jpg
,stercorarius-parasiticus.webp,,,Parasitic Jaeger,,stercorarius-parasiticus,,227,Stercorarius parasiticus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRichardsons_Lestris.jpg
,stercorarius-longicaudus.webp,,,Long-tailed Jaeger,,stercorarius-longicaudus,,228,Stercorarius longicaudus,vonwright,existing,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00043.jpg
,,,,Laughing Gull,,leucophaeus-atricilla,,229,Leucophaeus atricilla,,missing-source,
,,,,Franklin's Gull,,leucophaeus-pipixcan,,230,Leucophaeus pipixcan,,missing-source,
,hydrocoloeus-minutus.webp,,,Little Gull,,hydrocoloeus-minutus,,231,Hydrocoloeus minutus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLittle_Gull.jpg
,,,,Bonaparte's Gull,,chroicocephalus-philadelphia,,232,Chroicocephalus philadelphia,,missing-source,
,,,,Ring-billed Gull,,larus-delawarensis,,233,Larus delawarensis,,missing-source,
,,,,California Gull,,larus-californicus,,234,Larus californicus,,missing-source,
,larus-argentatus.webp,,,Herring Gull,,larus-argentatus,,235,Larus argentatus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHerring_Gull.jpg
,larus-fuscus.webp,,,Lesser Black-backed Gull,,larus-fuscus,,236,Larus fuscus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLesser_Black-backed_Gull.jpg
,larus-hyperboreus.webp,,,Glaucous Gull,,larus-hyperboreus,,237,Larus hyperboreus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGlaucous_Gull.jpg
,rissa-tridactyla.webp,,,Black-legged Kittiwake,,rissa-tridactyla,,238,Rissa tridactyla,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVKittiwake_Gull.jpg
,xema-sabini.webp,,,Sabine's Gull,,xema-sabini,,239,Xema sabini,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSabines_Gull.jpg
,gelochelidon-nilotica.webp,,,Gull-billed Tern,,gelochelidon-nilotica,,240,Gelochelidon nilotica,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeV_Gull-billed_Tern.jpg
,hydroprogne-caspia.webp,,,Caspian Tern,,hydroprogne-caspia,,241,Hydroprogne caspia,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCaspian_Tern.jpg
,,,,Royal Tern,,thalasseus-maximus,,242,Thalasseus maximus,,missing-source,
,thalasseus-sandvicensis.webp,,,Sandwich Tern,,thalasseus-sandvicensis,,243,Thalasseus sandvicensis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSandwich_Tern.jpg
,sterna-hirundo.webp,,,Common Tern,,sterna-hirundo,,244,Sterna hirundo,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Tern.jpg
,,,,Forster's Tern,,sterna-forsteri,,245,Sterna forsteri,,missing-source,
,,,,Least Tern,,sternula-antillarum,,246,Sternula antillarum,,missing-source,
,chlidonias-niger.webp,,,Black Tern,,chlidonias-niger,,247,Chlidonias niger,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBlack_Tern.jpg
,,,,Black Skimmer,,rynchops-niger,,248,Rynchops niger,,missing-source,
,,,,Inca Dove,,columbina-inca,,249,Columbina inca,,missing-source,
,,,,Common Ground-Dove,,columbina-passerina,,250,Columbina passerina,,missing-source,
,,,,Black-billed Cuckoo,,coccyzus-erythropthalmus,,251,Coccyzus erythropthalmus,,missing-source,
,,,,Groove-billed Ani,,crotophaga-sulcirostris,,252,Crotophaga sulcirostris,,missing-source,
,tyto-alba.webp,,,Barn Owl,,tyto-alba,,253,Tyto alba,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIBarn_Owl.jpg
,,,,Burrowing Owl,,athene-cunicularia,,254,Athene cunicularia,,missing-source,
,asio-otus.webp,,,Long-eared Owl,,asio-otus,,255,Asio otus,gould,existing,https://commons.wikimedia.org/wiki/File:Asio_otus_by_John_Gould.jpg
,asio-flammeus.webp,,,Short-eared Owl,,asio-flammeus,,256,Asio flammeus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIShort-Eared_Owl.jpg
,,,,Green Kingfisher,,chloroceryle-americana,,257,Chloroceryle americana,,missing-source,
,,,,Red-headed Woodpecker,,melanerpes-erythrocephalus,,258,Melanerpes erythrocephalus,,missing-source,
,,,,Acorn Woodpecker,,melanerpes-formicivorus,,259,Melanerpes formicivorus,,missing-source,
,,,,Hairy Woodpecker,,leuconotopicus-villosus,,260,Leuconotopicus villosus,,missing-source,
,,,,Olive-sided Flycatcher,,contopus-cooperi,,261,Contopus cooperi,,missing-source,
,,,,Western Wood-Pewee,,contopus-sordidulus,,262,Contopus sordidulus,,missing-source,
,,,,Yellow-bellied Flycatcher,,empidonax-flaviventris,,263,Empidonax flaviventris,,missing-source,
,,,,Acadian Flycatcher,,empidonax-virescens,,264,Empidonax virescens,,missing-source,
,,,,Alder Flycatcher,,empidonax-alnorum,,265,Empidonax alnorum,,missing-source,
,,,,Willow Flycatcher,,empidonax-traillii,,266,Empidonax traillii,,missing-source,
,,,,Least Flycatcher,,empidonax-minimus,,267,Empidonax minimus,,missing-source,
,,,,Black Phoebe,,sayornis-nigricans,,269,Sayornis nigricans,,missing-source,
,,,,Say's Phoebe,,sayornis-saya,,270,Sayornis saya,,missing-source,
,,,,Ash-throated Flycatcher,,myiarchus-cinerascens,,271,Myiarchus cinerascens,,missing-source,
,,,,Great Kiskadee,,pitangus-sulphuratus,,272,Pitangus sulphuratus,,missing-source,
,,,,Couch's Kingbird,,tyrannus-couchii,,273,Tyrannus couchii,,missing-source,
,,,,Cassin's Kingbird,,tyrannus-vociferans,,274,Tyrannus vociferans,,missing-source,
,,,,Bell's Vireo,,vireo-bellii,,275,Vireo bellii,,missing-source,
,,,,Plumbeous Vireo,,vireo-plumbeus,,276,Vireo plumbeus,,missing-source,
,,,,Blue-headed Vireo,,vireo-solitarius,,277,Vireo solitarius,,missing-source,
,,,,Warbling Vireo,,vireo-gilvus,,278,Vireo gilvus,,missing-source,
,,,,Philadelphia Vireo,,vireo-philadelphicus,,279,Vireo philadelphicus,,missing-source,
,,,,Green Jay,,cyanocorax-yncas,,280,Cyanocorax yncas,,missing-source,
,,,,American Crow,,corvus-brachyrhynchos,,281,Corvus brachyrhynchos,,missing-source,
,,,,Fish Crow,,corvus-ossifragus,,282,Corvus ossifragus,,missing-source,
,,,,Chihuahuan Raven,,corvus-cryptoleucus,,283,Corvus cryptoleucus,,missing-source,
,eremophila-alpestris.webp,,,Horned Lark,,eremophila-alpestris,,284,Eremophila alpestris,vonwright,existing,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00139.jpg
,riparia-riparia.webp,,,Bank Swallow,,riparia-riparia,,285,Riparia riparia,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIISand_Martin.jpg
,,,,Red-breasted Nuthatch,,sitta-canadensis,,286,Sitta canadensis,,missing-source,
,sitta-carolinensis.webp,,,White-breasted Nuthatch,,sitta-carolinensis,,287,Sitta carolinensis,audubon,existing,https://media.audubon.org/boa_illustration/plate-152-white-breasted-black-capped-nuthatch.jpg
,,,,Brown-headed Nuthatch,,sitta-pusilla,,288,Sitta pusilla,,missing-source,
,,,,Rock Wren,,salpinctes-obsoletus,,289,Salpinctes obsoletus,,missing-source,
,,,,Winter Wren,,troglodytes-hiemalis,,290,Troglodytes hiemalis,,missing-source,
,,,,Sedge Wren,,cistothorus-stellaris,,291,Cistothorus stellaris,,missing-source,
,,,,Marsh Wren,,cistothorus-palustris,,292,Cistothorus palustris,,missing-source,
,,,,Mountain Bluebird,,sialia-currucoides,,293,Sialia currucoides,,missing-source,
,,,,Veery,,catharus-fuscescens,,294,Catharus fuscescens,,missing-source,
,,,,Gray-cheeked Thrush,,catharus-minimus,,295,Catharus minimus,,missing-source,
,,,,Swainson's Thrush,,catharus-ustulatus,,296,Catharus ustulatus,,missing-source,
,,,,Hermit Thrush,,catharus-guttatus,,297,Catharus guttatus,,missing-source,
,,,,Wood Thrush,,hylocichla-mustelina,,298,Hylocichla mustelina,,missing-source,
,,,,Varied Thrush,,ixoreus-naevius,,299,Ixoreus naevius,,missing-source,
,,,,American Pipit,,anthus-rubescens,,300,Anthus rubescens,,missing-source,
,,,,Sprague's Pipit,,anthus-spragueii,,301,Anthus spragueii,,missing-source,
,bombycilla-garrulus.webp,,,Bohemian Waxwing,,bombycilla-garrulus,,302,Bombycilla garrulus,gould,existing,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(1837)_(14565285848).jpg
,,,,Blue-winged Warbler,,vermivora-cyanoptera,,303,Vermivora cyanoptera,,missing-source,
,,,,Golden-winged Warbler,,vermivora-chrysoptera,,304,Vermivora chrysoptera,,missing-source,
,,,,Tennessee Warbler,,leiothlypis-peregrina,,305,Leiothlypis peregrina,,missing-source,
,,,,Nashville Warbler,,leiothlypis-ruficapilla,,306,Leiothlypis ruficapilla,,missing-source,
,,,,Chestnut-sided Warbler,,setophaga-pensylvanica,,307,Setophaga pensylvanica,,missing-source,
,,,,Magnolia Warbler,,setophaga-magnolia,,308,Setophaga magnolia,,missing-source,
,,,,Cape May Warbler,,setophaga-tigrina,,309,Setophaga tigrina,,missing-source,
,,,,Black-throated Blue Warbler,,setophaga-caerulescens,,310,Setophaga caerulescens,,missing-source,
,,,,Black-throated Gray Warbler,,setophaga-nigrescens,,311,Setophaga nigrescens,,missing-source,
,,,,Golden-cheeked Warbler,,setophaga-chrysoparia,,312,Setophaga chrysoparia,,missing-source,
,,,,Black-throated Green Warbler,,setophaga-virens,,313,Setophaga virens,,missing-source,
,,,,Townsend's Warbler,,setophaga-townsendi,,314,Setophaga townsendi,,missing-source,
,,,,Blackburnian Warbler,,setophaga-fusca,,315,Setophaga fusca,,missing-source,
,,,,Prairie Warbler,,setophaga-discolor,,316,Setophaga discolor,,missing-source,
,,,,Palm Warbler,,setophaga-palmarum,,317,Setophaga palmarum,,missing-source,
,,,,Bay-breasted Warbler,,setophaga-castanea,,318,Setophaga castanea,,missing-source,
,,,,Blackpoll Warbler,,setophaga-striata,,319,Setophaga striata,,missing-source,
,,,,Cerulean Warbler,,setophaga-cerulea,,320,Setophaga cerulea,,missing-source,
,,,,Prothonotary Warbler,,protonotaria-citrea,,321,Protonotaria citrea,,missing-source,
,,,,Worm-eating Warbler,,helmitheros-vermivorum,,322,Helmitheros vermivorum,,missing-source,
,,,,Swainson's Warbler,,limnothlypis-swainsonii,,323,Limnothlypis swainsonii,,missing-source,
,,,,Ovenbird,,seiurus-aurocapilla,,324,Seiurus aurocapilla,,missing-source,
,,,,Northern Waterthrush,,parkesia-noveboracensis,,325,Parkesia noveboracensis,,missing-source,
,,,,Louisiana Waterthrush,,parkesia-motacilla,,326,Parkesia motacilla,,missing-source,
,,,,Kentucky Warbler,,geothlypis-formosa,,327,Geothlypis formosa,,missing-source,
,,,,Connecticut Warbler,,oporornis-agilis,,328,Oporornis agilis,,missing-source,
,,,,Mourning Warbler,,geothlypis-philadelphia,,329,Geothlypis philadelphia,,missing-source,
,,,,MacGillivray's Warbler,,geothlypis-tolmiei,,330,Geothlypis tolmiei,,missing-source,
,,,,Hooded Warbler,,setophaga-citrina,,331,Setophaga citrina,,missing-source,
,,,,Wilson's Warbler,,cardellina-pusilla,,332,Cardellina pusilla,,missing-source,
,,,,Canada Warbler,,cardellina-canadensis,,333,Cardellina canadensis,,missing-source,
,,,,Yellow-breasted Chat,,icteria-virens,,334,Icteria virens,,missing-source,
,,,,Hepatic Tanager,,piranga-flava,,335,Piranga flava,,missing-source,
,,,,Scarlet Tanager,,piranga-olivacea,,336,Piranga olivacea,,missing-source,
,,,,Western Tanager,,piranga-ludoviciana,,337,Piranga ludoviciana,,missing-source,
,,,,Green-tailed Towhee,,pipilo-chlorurus,,338,Pipilo chlorurus,,missing-source,
,,,,Eastern Towhee,,pipilo-erythrophthalmus,,339,Pipilo erythrophthalmus,,missing-source,
,,,,Spotted Towhee,,pipilo-maculatus,,340,Pipilo maculatus,,missing-source,
,,,,Bachman's Sparrow,,peucaea-aestivalis,,341,Peucaea aestivalis,,missing-source,
,,,,Cassin's Sparrow,,peucaea-cassinii,,342,Peucaea cassinii,,missing-source,
,,,,Rufous-crowned Sparrow,,aimophila-ruficeps,,343,Aimophila ruficeps,,missing-source,
,,,,Clay-colored Sparrow,,spizella-pallida,,344,Spizella pallida,,missing-source,
,,,,Brewer's Sparrow,,spizella-breweri,,345,Spizella breweri,,missing-source,
,,,,Field Sparrow,,spizella-pusilla,,346,Spizella pusilla,,missing-source,
,,,,Vesper Sparrow,,pooecetes-gramineus,,347,Pooecetes gramineus,,missing-source,
,,,,Black-throated Sparrow,,amphispiza-bilineata,,348,Amphispiza bilineata,,missing-source,
,,,,Lark Bunting,,calamospiza-melanocorys,,349,Calamospiza melanocorys,,missing-source,
,,,,Grasshopper Sparrow,,ammodramus-savannarum,,350,Ammodramus savannarum,,missing-source,
,,,,Henslow's Sparrow,,centronyx-henslowii,,351,Centronyx henslowii,,missing-source,
,,,,LeConte's Sparrow,,ammospiza-leconteii,,352,Ammospiza leconteii,,missing-source,
,,,,Nelson's Sparrow,,ammospiza-nelsoni,,353,Ammospiza nelsoni,,missing-source,
,,,,Fox Sparrow,,passerella-iliaca,,354,Passerella iliaca,,missing-source,
,,,,Song Sparrow,,melospiza-melodia,,355,Melospiza melodia,,missing-source,
,,,,Swamp Sparrow,,melospiza-georgiana,,356,Melospiza georgiana,,missing-source,
,,,,Harris's Sparrow,,zonotrichia-querula,,357,Zonotrichia querula,,missing-source,
,,,,White-crowned Sparrow,,zonotrichia-leucophrys,,358,Zonotrichia leucophrys,,missing-source,
,,,,Dark-eyed Junco,,junco-hyemalis,,359,Junco hyemalis,,missing-source,
,,,,McCown's Longspur,,rhynchophanes-mccownii,,360,Rhynchophanes mccownii,,missing-source,
,calcarius-lapponicus.webp,,,Lapland Longspur,,calcarius-lapponicus,,361,Calcarius lapponicus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIILark-heeled_Bunting.jpg
,,,,Smith's Longspur,,calcarius-pictus,,362,Calcarius pictus,,missing-source,
,,,,Pyrrhuloxia,,cardinalis-sinuatus,,363,Cardinalis sinuatus,,missing-source,
,,,,Rose-breasted Grosbeak,,pheucticus-ludovicianus,,364,Pheucticus ludovicianus,,missing-source,
,,,,Black-headed Grosbeak,,pheucticus-melanocephalus,,365,Pheucticus melanocephalus,,missing-source,
,,,,Lazuli Bunting,,passerina-amoena,,366,Passerina amoena,,missing-source,
,,,,Bobolink,,dolichonyx-oryzivorus,,367,Dolichonyx oryzivorus,,missing-source,
,,,,Western Meadowlark,,sturnella-neglecta,,368,Sturnella neglecta,,missing-source,
,,,,Yellow-headed Blackbird,,xanthocephalus-xanthocephalus,,369,Xanthocephalus xanthocephalus,,missing-source,
,,,,Rusty Blackbird,,euphagus-carolinus,,370,Euphagus carolinus,,missing-source,
,,,,Brewer's Blackbird,,euphagus-cyanocephalus,,371,Euphagus cyanocephalus,,missing-source,
,,,,Shiny Cowbird,,molothrus-bonariensis,,372,Molothrus bonariensis,,missing-source,
,,,,Bronzed Cowbird,,molothrus-aeneus,,373,Molothrus aeneus,,missing-source,
,,,,Hooded Oriole,,icterus-cucullatus,,374,Icterus cucullatus,,missing-source,
,,,,Bullock's Oriole,,icterus-bullockii,,375,Icterus bullockii,,missing-source,
,,,,Purple Finch,,haemorhous-purpureus,,376,Haemorhous purpureus,,missing-source,
,loxia-curvirostra.webp,,,Red Crossbill,,loxia-curvirostra,,377,Loxia curvirostra,vonwright,existing,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00143.jpg
,,,,Pine Siskin,,spinus-pinus,,378,Spinus pinus,,missing-source,
,,,,Evening Grosbeak,,hesperiphona-vespertina,,379,Hesperiphona vespertina,,missing-source,
,gavia-stellata.webp,,,Red-throated Loon,,gavia-stellata,,380,Gavia stellata,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-throated_Diver.jpg
,podiceps-grisegena.webp,,,Red-necked Grebe,,podiceps-grisegena,,381,Podiceps grisegena,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-necked_Grebe.jpg
,,,,Blue-footed Booby,,sula-nebouxii,,382,Sula nebouxii,,missing-source,
,branta-bernicla.webp,,,Brant,,branta-bernicla,,383,Branta bernicla,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBrent_Goose.jpg
,cygnus-columbianus.webp,,,Tundra Swan,,cygnus-columbianus,,384,Cygnus columbianus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBewicks_Swan.jpg
,mareca-penelope.webp,,,Eurasian Wigeon,,mareca-penelope,,385,Mareca penelope,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVWidgeon.jpg
,,,,American Black Duck,,anas-rubripes,,386,Anas rubripes,,missing-source,
,astur-gentilis.webp,,,Northern Goshawk,,astur-gentilis,,388,Astur gentilis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIGoshawk.jpg
,,,,Harris's Hawk,,parabuteo-unicinctus,,389,Parabuteo unicinctus,,missing-source,
,phasianus-colchicus.webp,,,Ring-necked Pheasant,,phasianus-colchicus,,390,Phasianus colchicus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVCommon_Pheasant.jpg
,,,,Scaled Quail,,callipepla-squamata,,391,Callipepla squamata,,missing-source,
,,,,Yellow Rail,,coturnicops-noveboracensis,,392,Coturnicops noveboracensis,,missing-source,
,,,,Black Rail,,laterallus-jamaicensis,,393,Laterallus jamaicensis,,missing-source,
,,,,King Rail,,rallus-elegans,,394,Rallus elegans,,missing-source,
,,,,Virginia Rail,,rallus-limicola,,395,Rallus limicola,,missing-source,
,,,,Paint-billed Crake,,mustelirallus-erythrops,,396,Mustelirallus erythrops,,missing-source,
,,,,Purple Gallinule,,porphyrio-martinica,,397,Porphyrio martinica,,missing-source,
,,,,Whooping Crane,,grus-americana,,398,Grus americana,,missing-source,
,,,,Mountain Plover,,anarhynchus-montanus,,399,Anarhynchus montanus,,missing-source,
,,,,Northern Jacana,,jacana-spinosa,,400,Jacana spinosa,,missing-source,
,tringa-erythropus.webp,,,Spotted Redshank,,tringa-erythropus,,401,Tringa erythropus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSpotted_Redshank.jpg
,,,,Sharp-tailed Sandpiper,,calidris-acuminata,,402,Calidris acuminata,,missing-source,
,calidris-ferruginea.webp,,,Curlew Sandpiper,,calidris-ferruginea,,403,Calidris ferruginea,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPygmy_Curlew.jpg
,stercorarius-pomarinus.webp,,,Pomarine Jaeger,,stercorarius-pomarinus,,404,Stercorarius pomarinus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVPomarine_Gull.jpg
,chroicocephalus-ridibundus.webp,,,Black-headed Gull,,chroicocephalus-ridibundus,,405,Chroicocephalus ridibundus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLaughing_Gull.jpg
,larus-canus.webp,,,Mew Gull,,larus-canus,,406,Larus canus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Gull.jpg
,larus-glaucoides.webp,,,Thayer's Gull,,larus-glaucoides,,407,Larus glaucoides,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVIceland_Gull.jpg
,sterna-dougallii.webp,,,Roseate Tern,,sterna-dougallii,,408,Sterna dougallii,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRoseate_Tern.jpg
,,,,Sooty Tern,,onychoprion-fuscatus,,409,Onychoprion fuscatus,,missing-source,
,,,,White-tipped Dove,,leptotila-verreauxi,,410,Leptotila verreauxi,,missing-source,
,bubo-scandiacus.webp,,,Snowy Owl,,bubo-scandiacus,,411,Bubo scandiacus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeISnowy_Owl.jpg
,,,,Northern Saw-whet Owl,,aegolius-acadicus,,412,Aegolius acadicus,,missing-source,
,,,,Lesser Nighthawk,,chordeiles-acutipennis,,413,Chordeiles acutipennis,,missing-source,
,,,,Common Pauraque,,nyctidromus-albicollis,,414,Nyctidromus albicollis,,missing-source,
,,,,Common Poorwill,,phalaenoptilus-nuttallii,,415,Phalaenoptilus nuttallii,,missing-source,
,,,,White-throated Swift,,aeronautes-saxatalis,,416,Aeronautes saxatalis,,missing-source,
,,,,Mexican Violetear,,colibri-thalassinus,,417,Colibri thalassinus,,missing-source,
,,,,Broad-billed Hummingbird,,cynanthus-latirostris,,418,Cynanthus latirostris,,missing-source,
,,,,Anna's Hummingbird,,calypte-anna,,420,Calypte anna,,missing-source,
,,,,Calliope Hummingbird,,selasphorus-calliope,,421,Selasphorus calliope,,missing-source,
,,,,Broad-tailed Hummingbird,,selasphorus-platycercus,,422,Selasphorus platycercus,,missing-source,
,,,,Allen's Hummingbird,,selasphorus-sasin,,423,Selasphorus sasin,,missing-source,
,,,,Ringed Kingfisher,,megaceryle-torquata,,424,Megaceryle torquata,,missing-source,
,,,,Lewis's Woodpecker,,melanerpes-lewis,,425,Melanerpes lewis,,missing-source,
,,,,Red-naped Sapsucker,,sphyrapicus-nuchalis,,426,Sphyrapicus nuchalis,,missing-source,
,,,,Williamson's Sapsucker,,sphyrapicus-thyroideus,,427,Sphyrapicus thyroideus,,missing-source,
,,,,Hammond's Flycatcher,,empidonax-hammondii,,428,Empidonax hammondii,,missing-source,
,,,,Brown-crested Flycatcher,,myiarchus-tyrannulus,,429,Myiarchus tyrannulus,,missing-source,
,,,,Fork-tailed Flycatcher,,tyrannus-savana,,430,Tyrannus savana,,missing-source,
,,,,Northern Shrike,,lanius-borealis,,431,Lanius borealis,,missing-source,
,,,,Black-capped Vireo,,vireo-atricapilla,,432,Vireo atricapilla,,missing-source,
,,,,Hutton's Vireo,,vireo-huttoni,,433,Vireo huttoni,,missing-source,
,,,,Yellow-green Vireo,,vireo-flavoviridis,,434,Vireo flavoviridis,,missing-source,
,,,,Woodhouse's Scrub-Jay,,aphelocoma-woodhouseii,,435,Aphelocoma woodhouseii,,missing-source,
,corvus-corax.webp,,,Common Raven,,corvus-corax,,436,Corvus corax,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIRaven.jpg
,,,,Violet-green Swallow,,tachycineta-thalassina,,437,Tachycineta thalassina,,missing-source,
,,,,Verdin,,auriparus-flaviceps,,438,Auriparus flaviceps,,missing-source,
,,,,Bushtit,,psaltriparus-minimus,,439,Psaltriparus minimus,,missing-source,
,,,,Pygmy Nuthatch,,sitta-pygmaea,,440,Sitta pygmaea,,missing-source,
,,,,Cactus Wren,,campylorhynchus-brunneicapillus,,441,Campylorhynchus brunneicapillus,,missing-source,
,,,,Canyon Wren,,catherpes-mexicanus,,442,Catherpes mexicanus,,missing-source,
,,,,American Dipper,,cinclus-mexicanus,,443,Cinclus mexicanus,,missing-source,
,,,,Western Bluebird,,sialia-mexicana,,444,Sialia mexicana,,missing-source,
,,,,Townsend's Solitaire,,myadestes-townsendi,,445,Myadestes townsendi,,missing-source,
,,,,Clay-colored Thrush,,turdus-grayi,,446,Turdus grayi,,missing-source,
,,,,Sage Thrasher,,oreoscoptes-montanus,,447,Oreoscoptes montanus,,missing-source,
,,,,Long-billed Thrasher,,toxostoma-longirostre,,448,Toxostoma longirostre,,missing-source,
,,,,Curve-billed Thrasher,,toxostoma-curvirostre,,449,Toxostoma curvirostre,,missing-source,
,,,,Phainopepla,,phainopepla-nitens,,450,Phainopepla nitens,,missing-source,
,,,,Red-faced Warbler,,cardellina-rubrifrons,,451,Cardellina rubrifrons,,missing-source,
,,,,Olive Sparrow,,arremonops-rufivirgatus,,452,Arremonops rufivirgatus,,missing-source,
,,,,Canyon Towhee,,melozone-fusca,,453,Melozone fusca,,missing-source,
,,,,American Tree Sparrow,,spizelloides-arborea,,454,Spizelloides arborea,,missing-source,
,,,,Baird's Sparrow,,centronyx-bairdii,,455,Centronyx bairdii,,missing-source,
,,,,Golden-crowned Sparrow,,zonotrichia-atricapilla,,456,Zonotrichia atricapilla,,missing-source,
,,,,Chestnut-collared Longspur,,calcarius-ornatus,,457,Calcarius ornatus,,missing-source,
,plectrophenax-nivalis.webp,,,Snow Bunting,,plectrophenax-nivalis,,458,Plectrophenax nivalis,vonwright,existing,https://commons.wikimedia.org/wiki/File:Plectrophenax_nivalis_2.jpg
,,,,Audubon's Oriole,,icterus-graduacauda,,459,Icterus graduacauda,,missing-source,
,,,,Scott's Oriole,,icterus-parisorum,,460,Icterus parisorum,,missing-source,
,pinicola-enucleator.webp,,,Pine Grosbeak,,pinicola-enucleator,,461,Pinicola enucleator,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIISiberian_Grosbeak.jpg
,acanthis-flammea.webp,,,Common Redpoll,,acanthis-flammea,,462,Acanthis flammea,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIMealy_Redpole.jpg
,,,,Swan Goose,,anser-cygnoides,,464,Anser cygnoides,,missing-source,
,,,,Chiloe Wigeon,,mareca-sibilatrix,,465,Mareca sibilatrix,,missing-source,
,,,,Band-tailed Pigeon,,patagioenas-fasciata,,466,Patagioenas fasciata,,missing-source,
,,,,Clapper Rail,,rallus-crepitans,,467,Rallus crepitans,,missing-source,
,larus-marinus.webp,,,Great Black-backed Gull,,larus-marinus,,468,Larus marinus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGreat_Black-backed_Gull.jpg
,,,,Slaty-backed Gull,,larus-schistisagus,,470,Larus schistisagus,,missing-source,
,larus-glaucoides.webp,,,Iceland Gull,,larus-glaucoides,,471,Larus glaucoides,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVIceland_Gull.jpg
,,,,Boat-tailed Grackle,,quiscalus-major,,472,Quiscalus major,,missing-source,
,,,,Cackling Goose,,branta-hutchinsii,,473,Branta hutchinsii,,missing-source,
,cygnus-olor.webp,,,Mute Swan,,cygnus-olor,,474,Cygnus olor,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVDomestic_Swan.jpg
,,,,Black Swan,,cygnus-atratus,,475,Cygnus atratus,,missing-source,
,alopochen-aegyptiaca.webp,,,Egyptian Goose,,alopochen-aegyptiaca,,476,Alopochen aegyptiaca,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVEgyptian_Goose.jpg
,,,,Muscovy Duck,,cairina-moschata,,477,Cairina moschata,,missing-source,
